jugador_x;jugador_y;bala1_x;bala1_y;bala2_x;bala2_y;salto;movimiento
66;300;597;310;50;0;0;derecha
64;300;594;310;40;2;0;derecha
62;300;591;310;40;4;0;derecha
60;300;588;310;40;6;0;derecha
58;300;585;310;40;8;0;derecha
56;300;582;310;40;10;0;derecha
54;300;579;310;40;12;0;derecha
52;300;576;310;40;14;0;derecha
50;300;573;310;40;16;0;derecha
48;300;570;310;40;18;0;derecha
46;300;567;310;40;20;0;derecha
44;300;564;310;40;22;0;derecha
42;300;561;310;40;24;0;derecha
40;300;558;310;40;26;0;derecha
38;300;555;310;40;28;0;derecha
36;300;552;310;40;30;0;derecha
34;300;549;310;40;32;0;derecha
32;300;546;310;40;34;0;derecha
30;300;516;310;40;54;0;quieto
30;300;486;310;40;74;0;quieto
30;300;456;310;40;94;0;quieto
30;300;426;310;40;114;0;quieto
30;300;396;310;40;134;0;quieto
30;300;366;310;40;154;0;quieto
30;300;336;310;40;174;0;quieto
30;300;306;310;40;194;0;quieto
30;300;276;310;40;214;0;quieto
70;300;264;310;40;222;0;derecha
90;300;261;310;40;224;0;derecha
110;300;258;310;40;226;0;derecha
130;300;255;310;40;228;0;derecha
130;300;252;310;40;230;0;derecha
130;300;249;310;40;232;0;derecha
130;300;246;310;40;234;0;derecha
130;300;243;310;40;236;0;derecha
130;300;240;310;40;238;0;derecha
130;300;237;310;40;240;0;derecha
128;300;234;310;40;242;0;derecha
126;300;231;310;40;244;0;derecha
124;300;228;310;40;246;0;derecha
122;300;225;310;40;248;0;derecha
120;300;222;310;40;250;0;derecha
118;300;219;310;40;252;0;derecha
116;300;216;310;40;254;0;derecha
114;300;213;310;40;256;0;derecha
112;300;210;310;40;258;0;derecha
110;300;207;310;40;260;0;derecha
108;300;204;310;40;262;0;derecha
106;300;201;310;40;264;0;derecha
104;300;198;310;40;266;0;derecha
102;300;195;310;40;268;0;derecha
100;300;192;310;40;270;0;derecha
98;300;189;310;40;272;0;derecha
96;300;186;310;40;274;0;derecha
94;300;183;310;40;276;0;derecha
92;300;180;310;40;278;0;derecha
90;285;177;310;40;280;1;derecha
88;271;174;310;40;282;1;derecha
86;258;171;310;40;284;1;derecha
84;246;168;310;40;286;1;derecha
82;235;165;310;40;288;1;derecha
100;225;162;310;40;290;1;derecha
118;216;159;310;40;292;1;derecha
136;208;156;310;40;294;1;derecha
134;201;153;310;40;296;1;derecha
132;195;150;310;40;298;1;derecha
130;190;147;310;40;300;1;derecha
128;186;144;310;40;302;1;derecha
126;183;141;310;40;304;1;derecha
124;181;138;310;40;306;1;derecha
122;180;135;310;40;308;1;derecha
120;180;132;310;40;310;1;derecha
138;181;129;310;40;312;1;derecha
136;183;126;310;40;314;1;derecha
134;186;123;310;40;316;1;derecha
132;190;120;310;40;318;1;derecha
130;195;117;310;40;320;1;derecha
128;201;114;310;40;322;1;derecha
126;208;111;310;40;324;1;derecha
124;216;108;310;40;326;1;derecha
122;225;105;310;40;328;1;derecha
120;235;102;310;40;330;1;derecha
118;246;99;310;40;332;1;derecha
116;258;96;310;40;334;1;derecha
114;271;93;310;40;336;1;derecha
112;285;90;310;40;338;1;derecha
110;300;87;310;40;340;0;derecha
108;300;84;310;40;342;0;derecha
106;300;81;310;40;344;0;derecha
104;300;78;310;40;346;0;derecha
102;300;75;310;40;348;0;derecha
100;300;72;310;40;350;0;derecha
98;300;69;310;40;352;0;derecha
96;300;66;310;40;354;0;derecha
94;300;63;310;40;356;0;derecha
92;300;60;310;40;358;0;derecha
90;300;57;310;40;360;0;derecha
88;300;54;310;40;362;0;derecha
86;300;51;310;40;364;0;derecha
84;300;48;310;40;366;0;derecha
82;300;45;310;40;368;0;derecha
80;300;42;310;40;370;0;derecha
78;300;39;310;40;372;0;derecha
76;300;36;310;40;374;0;derecha
74;300;33;310;40;376;0;derecha
72;300;30;310;40;378;0;derecha
70;300;27;310;40;380;0;derecha
68;300;24;310;40;382;0;derecha
66;300;21;310;40;384;0;derecha
64;300;18;310;40;386;0;derecha
62;300;15;310;40;388;0;derecha
60;300;12;310;40;390;0;derecha
58;300;9;310;40;392;0;derecha
56;300;6;310;40;394;0;derecha
54;300;3;310;40;396;0;derecha
52;300;0;310;40;398;0;derecha
50;300;750;310;40;400;0;derecha
48;300;747;310;50;0;0;derecha
46;300;744;310;40;2;0;derecha
44;300;741;310;40;4;0;derecha
42;300;738;310;40;6;0;derecha
40;300;735;310;40;8;0;derecha
38;300;732;310;40;10;0;derecha
36;300;729;310;40;12;0;derecha
34;300;726;310;40;14;0;derecha
32;300;723;310;40;16;0;derecha
30;300;693;310;40;36;0;quieto
30;300;663;310;40;56;0;quieto
30;300;633;310;40;76;0;quieto
30;300;603;310;40;96;0;quieto
30;300;573;310;40;116;0;quieto
30;300;543;310;40;136;0;quieto
30;300;513;310;40;156;0;quieto
30;300;483;310;40;176;0;quieto
30;300;453;310;40;196;0;quieto
30;300;423;310;40;216;0;quieto
30;300;393;310;40;236;0;quieto
30;300;363;310;40;256;0;quieto
70;300;342;310;40;270;0;derecha
90;300;339;310;40;272;0;derecha
110;300;336;310;40;274;0;derecha
130;300;333;310;40;276;0;derecha
130;300;330;310;40;278;0;derecha
130;300;327;310;40;280;0;derecha
130;300;324;310;40;282;0;derecha
130;300;321;310;40;284;0;derecha
130;300;318;310;40;286;0;derecha
130;300;315;310;40;288;0;derecha
128;300;312;310;40;290;0;derecha
126;300;309;310;40;292;0;derecha
124;300;306;310;40;294;0;derecha
122;300;303;310;40;296;0;derecha
120;300;300;310;40;298;0;derecha
118;300;297;310;40;300;0;derecha
116;300;294;310;40;302;0;derecha
114;300;291;310;40;304;0;derecha
112;300;288;310;40;306;0;derecha
110;300;285;310;40;308;0;derecha
108;300;282;310;40;310;0;derecha
106;300;279;310;40;312;0;derecha
104;300;276;310;40;314;0;derecha
102;300;273;310;40;316;0;derecha
100;300;270;310;40;318;0;derecha
98;300;267;310;40;320;0;derecha
96;300;264;310;40;322;0;derecha
94;300;261;310;40;324;0;derecha
92;300;258;310;40;326;0;derecha
90;300;255;310;40;328;0;derecha
88;300;252;310;40;330;0;derecha
86;300;249;310;40;332;0;derecha
84;300;246;310;40;334;0;derecha
82;300;243;310;40;336;0;derecha
80;300;240;310;40;338;0;derecha
78;300;237;310;40;340;0;derecha
76;300;234;310;40;342;0;derecha
74;300;231;310;40;344;0;derecha
72;300;228;310;40;346;0;derecha
70;300;225;310;40;348;0;derecha
68;300;222;310;40;350;0;derecha
66;300;219;310;40;352;0;derecha
64;300;216;310;40;354;0;derecha
62;300;213;310;40;356;0;derecha
60;300;210;310;40;358;0;derecha
58;300;207;310;40;360;0;derecha
56;300;204;310;40;362;0;derecha
54;300;201;310;40;364;0;derecha
52;300;198;310;40;366;0;derecha
50;300;195;310;40;368;0;derecha
48;300;192;310;40;370;0;derecha
46;300;189;310;40;372;0;derecha
44;300;186;310;40;374;0;derecha
42;300;183;310;40;376;0;derecha
40;300;180;310;40;378;0;derecha
38;300;177;310;40;380;0;derecha
36;300;174;310;40;382;0;derecha
34;300;171;310;40;384;0;derecha
32;300;168;310;40;386;0;derecha
30;300;138;310;40;4;0;quieto
30;300;108;310;40;24;0;quieto
30;225;78;310;40;44;1;quieto
30;180;48;310;40;64;1;quieto
30;235;18;310;40;84;1;quieto
30;300;741;310;40;104;0;quieto
70;300;726;310;40;114;0;derecha
90;300;723;310;40;116;0;derecha
110;300;720;310;40;118;0;derecha
130;300;717;310;40;120;0;derecha
130;300;714;310;40;122;0;derecha
130;300;711;310;40;124;0;derecha
130;300;708;310;40;126;0;derecha
130;300;705;310;40;128;0;derecha
130;300;702;310;40;130;0;derecha
130;300;699;310;40;132;0;derecha
128;300;696;310;40;134;0;derecha
126;300;693;310;40;136;0;derecha
124;300;690;310;40;138;0;derecha
122;300;687;310;40;140;0;derecha
120;300;684;310;40;142;0;derecha
118;300;681;310;40;144;0;derecha
116;300;678;310;40;146;0;derecha
114;300;675;310;40;148;0;derecha
112;300;672;310;40;150;0;derecha
110;300;669;310;40;152;0;derecha
108;300;666;310;40;154;0;derecha
106;300;663;310;40;156;0;derecha
104;300;660;310;40;158;0;derecha
102;300;657;310;40;160;0;derecha
100;300;654;310;40;162;0;derecha
98;300;651;310;40;164;0;derecha
96;300;648;310;40;166;0;derecha
94;300;645;310;40;168;0;derecha
92;300;642;310;40;170;0;derecha
90;300;639;310;40;172;0;derecha
